Student,Project 1 - COVID Tracker,Project 1 - Heart Disease,Project 1 - NFL Combine,Project 1 - US Health Insurance,Project 1 - Homelessness,Project 1 - College Majors,Project 2 - Heart Disease,Project 2 - NFL Combine,Project 2 - US Health Insurance,Project 2 - Homelessness,Project 2 - College Majors,Project 3 - Heart Disease,Project 3 - NFL Combine,Project 3 - US Health Insurance,Project 3 - Homelessness,Project 3 - College Majors,Project 2 - COVID 19 Tracker,Project 3 - COVID 19 Tracker
77,0,6,0,0,0,0,11,0,0,0,0,13,0,0,0,0,0,0
78,0,0,0,0,11,0,0,0,0,9,0,0,0,0,9,0,0,0
79,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15
80,0,0,0,0,14.85,0,0,0,0,15,0,0,0,0,15,0,0,0
81,0,13,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0
82,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0
83,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,15,0,0
84,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,14.75,0,0
85,0,0,0,0,0,15,0,0,0,0,11.75,0,0,0,0,14.25,0,0
86,0,0,0,0,0,15,0,0,0,0,11.5,0,0,0,0,14,0,0
87,0,0,0,0,12.5,0,0,0,0,13,0,0,13,0,0,0,0,0
88,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0
89,0,0,0,0,0,10,0,0,0,0,7.25,0,9,0,0,0,0,0
90,0,0,15,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0
91,0,0,0,0,0,14,0,0,0,0,15,0,0,0,0,15,0,0
92,0,0,15,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0
93,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14
94,0,0,13,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,0,14,0
97,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14
98,0,0,0,13,0,0,0,0,11,0,0,0,0,15,0,0,0,0
F23.01,0,15,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0
F23.02,0,0,0,0,15,0,0,0,0,3,0,0,0,0,12,0,0,0
F23.03,0,0,0,11,0,0,0,0,12,0,0,0,0,13.5,0,0,0,0
F23.04,0,10.5,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0
F23.05,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
F23.06,0,0,13,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0
F23.07,0,0,0,0,15,0,0,0,0,15,0,14,0,0,0,0,0,0
F23.08,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,15,0,0
F23.09,0,0,0,0,14,0,0,0,0,11.5,0,0,0,0,0,0,0,0
F23.10,0,0,9,0,0,0,0,14,0,0,0,0,11.5,0,0,0,0,0
F23.11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11.5
F23.12,0,15,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0
F23.13,0,0,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
F23.14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15
F23.15,0,0,0,0,0,15,0,14,0,0,0,0,14,0,0,0,0,0
F23.16,0,0,0,8,0,0,0,0,0,15,0,0,0,0,15,0,0,0
F23.17,0,12,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0
F23.18,0,13,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0
F23.19,0,0,13,0,0,0,0,15,0,0,0,12,0,0,0,0,0,0
F23.20,0,0,13,0,0,0,0,15,0,0,0,0,0,0,0,11,0,0
F23.21,0,0,0,0,11,0,0,15,0,0,0,0,0,0,0,0,0,0
F23.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F23.23,0,0,10,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0
F23.24,0,0,0,8,0,0,0,0,11,0,0,0,0,15,0,0,0,0
F23.25,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0
F23.26,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
F23.27,0,0,11,0,0,0,0,15,0,0,0,0,12,0,0,0,0,0
F23.28,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0
F23.29,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,15,0,0
F23.30,0,0,0,0,15,0,0,0,0,15,0,0,0,0,11,0,0,0
F23.31,0,0,12,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0
F23.32,0,10,0,0,0,0,14,0,0,0,0,13.5,0,0,0,0,0,0
F23.33,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0
F23.34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F23.35,0,0,15,0,0,0,0,15,0,0,0,0,14,0,0,0,0,0
F23.36,0,15,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0
F23.37,0,9,0,0,0,0,0,0,14,0,0,12.5,0,0,0,0,0,0
F23.38,0,0,0,10,0,0,0,0,14,0,0,0,0,12,0,0,0,0
F23.39,0,0,0,9,0,0,0,0,0,0,15,0,0,0,0,0,0,8.5
F23.40,0,0,0,0,0,14,0,0,0,15,0,0,0,0,15,0,0,0
F23.41,0,0,9,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0
F23.42,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0
F23.43,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0
F23.44,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12.5
F23.45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
F23.46,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14
F23.47,0,0,0,0,0,5,0,0,0,0,15,0,0,0,0,13.5,0,0
F23.48,0,10,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0
F23.49,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0
F23.50,0,0,0,8,0,0,0,0,0,15,0,0,0,0,15,0,0,0
F23.51,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0
F23.52,0,0,0,0,13.5,0,0,0,0,15,0,0,0,0,15,0,0,0
F23.53,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0
F23.54,0,0,12,0,0,0,0,13,0,0,0,0,14,0,0,0,0,0
F23.55,0,0,0,0,14.7,0,0,0,0,15,0,0,0,0,14,0,0,0
F23.56,0,15,0,0,0,0,13,0,0,0,0,12.5,0,0,0,0,0,0
F23.57,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F23.58,0,0,0,0,0,15,0,0,0,0,14,0,0,0,0,15,0,0
F23.59,0,0,0,0,0,14,0,15,0,0,0,0,15,0,0,0,0,0
F23.60,0,13,0,0,0,0,0,0,0,0,15,0,0,0,9,0,0,0
F23.61,0,0,0,12,0,0,0,0,14,0,0,0,0,15,0,0,0,0
F23.62,0,0,0,0,0,15,0,0,0,0,14,0,0,0,0,15,0,0
F23.63,0,14,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0
F23.64,0,0,0,0,15,0,14,0,0,0,0,15,0,0,0,0,0,0
F23.65,0,0,0,0,0,13,0,0,0,0,11,0,0,0,15,0,0,0
F23.66,0,13,0,0,0,0,14,0,0,0,0,15,0,0,0,0,0,0
