Student,HW 0: Getting Ready! (810075),HW 1: Vocab (810068),HW 2: Qualitative Data (810069),HW 3: Quantitative Displays (810070),HW 4: Quantitative Data part 1 (810071),HW 5: Quantitative Data part 2 (810074),HW 6: Relative Position (810072),HW 7R: Midterm 1 Review NO DROP (810073),HW 8: Scatterplots and correlation (817337),"HW 9: Correlation, Regression (817338)",HW 10: Probability Part 1 (817339),HW 11: Probability Part 2 (817340),HW 12: RV & Normal Dist part 1 (833866),HW 13: Normal Distribution part 2 (833867),HW 14: Sampling Distributions of p-hat (833868),HW 15: 1 sample CI for p (part 1) (833869),HW 16: 1 sample CI for p (part 2) (833871),HW 17: Intro to Hypothesis Testing (833870),HW 18R: Midterm 2 Review - NO DROP (833865),HW 19: 1 sample HT for p (851955),HW 20R: Final Exam Review 1 - NO DROP (851958),HW 21: Sampling Distribution of x-bar (851954),HW 22: 1 sample CI for mu (851956),HW 23: 1 sample HT for mu (851957),HW 24R: Final Exam Review 2 - NO DROP (851959),Project 1 - COVID Tracker (810061),Project 1 - Heart Disease (810063),Project 1 - NFL Combine (810065),Project 1 - US Health Insurance (810066),Project 1 - Homelessness (810064),Project 1 - College Majors (810062),Project 2 - COVID 19 (821369),Project 2 - Heart Disease (821370),Project 2 - NFL Combine (821372),Project 2 - US Health Insurance (821373),Project 2 - Homelessness (821371),Project 2 - College Majors (820644),Project 3 - COVID Tracker (848640),Project 3 - Heart Disease (848639),Project 3 - NFL Combine (848637),Project 3 - US Health Insurance (848636),Project 3 - Homelessness (848638),Project 3 - College Majors (848635),Lecture 08.22 (782980),Lecture 08.24 (794986),Lecture 09.05 (803069),Lecture 09.07 (804537),Lecture 09.12 (807992),Lecture 09.14 (809359),Lecture 09.19 (812140),Lecture 09.21 (813748),Lecture 09.26 (816446),Lecture 09.28 (817928),Lecture 10.03 (820368),Lecture 10.05 (821949),Lecture 10.10 (824809),Lecture 10.12 (826172),Lecture 10.17 (828610),Lecture 10.19 (829874),Lecture 10.24 (832155),Lecture 10/26 (833546),Lecture 10.31 (836629),Lecture 11.02 (838062),Lecture 11.07 (840422),Lecture 11.09 (842069),Lecture 11.14 (844526),Lecture 11.16 (846793),Lecture 11.28 (851001),Lecture 11.30 (855020),Lecture 12.05 (854764),Lecture 12.07 (856370),Activity Week 1 (759915),Activity Week 2 (752808),Activity Week 3 (752809),Activity Week 4 (752810),Activity Week 5 (752811),Activity Week 6 (752812),Activity Week 7 (752813),Activity Week 8 (752814),Activity Week 9 (752815),Activity Week 10 (752802),Activity Week 11 (752803),Activity Week 12 (752804),Activity Week 13 (752805),Activity Week 15 (752806),Activity Week 16 (752807),Midterm 1 (752797),Midterm 2 (752798),Maintenance - Midterm 1 (752795),Maintenance - Midterm 2  (752796),Final Exam (752793),Lecture Attendance & Participation Current Score,Lecture Attendance & Participation Unposted Current Score,Lecture Attendance & Participation Final Score,Lecture Attendance & Participation Unposted Final Score,Activity Attendance & Participation Current Score,Activity Attendance & Participation Unposted Current Score,Activity Attendance & Participation Final Score,Activity Attendance & Participation Unposted Final Score,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Midterm Exams Current Score,Midterm Exams Unposted Current Score,Midterm Exams Final Score,Midterm Exams Unposted Final Score,Maintenance Current Score,Maintenance Unposted Current Score,Maintenance Final Score,Maintenance Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade,Override Score,Override Grade,Override Status
F23.10,9.17,9.34,10,9.7,9.13,8.58,8.38,9.28,8.86,4.26,9.73,10,7.93,7.62,8.34,8.94,7.51,9.06,9.25,7.07,7,8,8.74,4.99,9.26,0,0,9,0,0,0,0,0,14,0,0,0,0,0,11.5,0,0,0,EX,0,2,1,1,2,1,0,1,2,3,3,3,2,3,0,3,2,3,0,3,0,1,0,3,0,5,0,EX,2,2,2,2,2,2,2,2,2,2,0,2,1,0,64,64,20,20,115,66.67,66.67,66.67,66.67,95.83,95.83,95.83,95.83,88.1,88.1,88.1,88.1,76.67,76.67,76.67,76.67,64,64,64,64,100,100,100,100,57.5,57.5,57.5,57.5,74.48,74.48,74.48,74.48,C,C,C,C,,,
F23.11,10,9.67,5,5,9.14,0,10,10,9.44,9.63,8.11,9.37,0,2.1,9.72,9.47,0,7.77,4.63,8.23,0,9.72,8.74,1.83,4.63,14,0,0,0,0,0,13,0,0,0,0,0,11.5,0,0,0,0,0,3,3,3,0,2,3,2,2,1,2,3,3,3,2,3,2,3,1,3,2,3,5,2,4,3,3,5,0,2,2,0,2,2,2,2,2,2,0,2,0,2,2,2,88,78,20,20,155,94.59,94.59,94.59,94.59,92.31,92.31,92.31,92.31,73.73,73.73,73.73,73.73,85.56,85.56,85.56,85.56,83,83,83,83,100,100,100,100,77.5,77.5,77.5,77.5,82.13,82.13,82.13,82.13,B,B,B,B,,,
F23.12,10,9.67,10,10,10,10,10,10,10,5,10,8.74,9.09,9.74,10,5,10,8.08,10,10,10,5.87,3.74,10,10,0,15,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,3,3,0,2,3,3,1,2,2,0,3,3,3,2,4,2,3,2,3,2,3,4,0,0,2,2,6,0,2,0,2,2,2,2,2,2,1.5,0,0,2,2,2,2,98,97,20,20,187,88.73,88.73,88.73,88.73,90.38,90.38,90.38,90.38,96,96,96,96,95.56,95.56,95.56,95.56,97.5,97.5,97.5,97.5,100,100,100,100,93.5,93.5,93.5,93.5,95.56,95.56,95.56,95.56,A,A,A,A,,,
F23.13,5.02,0,10,3.6,8.71,5,0,9.04,10,8.15,8.91,3.76,0,3.14,1.96,0.8,8.32,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,3,2,2,1,3,1,2,2,1,3,2,3,2,0,2,3,2,3,2,2,4,2,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,0,2,0,0,49,10,20,0,0,73.53,73.53,73.53,73.53,84.62,84.62,84.62,84.62,39.28,39.28,39.28,39.28,51.11,51.11,51.11,51.11,29.5,29.5,29.5,29.5,50,50,50,50,0,0,0,0,36.74,36.74,36.74,36.74,F,F,F,F,,,
F23.14,10,9.67,10,9.3,9.57,10,10,10,9.43,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,0,0,0,0,0,12,0,0,0,0,0,15,0,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,80,92,20,20,163,100,100,100,100,100,100,100,100,99.85,99.85,99.85,99.85,93.33,93.33,93.33,93.33,86,86,86,86,100,100,100,100,81.5,81.5,81.5,81.5,91.99,91.99,91.99,91.99,A,A,A,A,,,
F23.15,10,9.34,9.54,10,10,9.64,9.79,10,9.62,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,15,0,0,14,0,0,0,0,0,14,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,97,90,20,20,173,100,100,100,100,100,100,100,100,99.74,99.74,99.74,99.74,95.56,95.56,95.56,95.56,93.5,93.5,93.5,93.5,100,100,100,100,86.5,86.5,86.5,86.5,95.29,95.29,95.29,95.29,A,A,A,A,,,
F23.16,9.17,9.33,9.1,4.5,9.13,9.64,8.97,10,10,10,9.73,9.37,9.78,7.37,9.72,9.47,9.17,10,10,10,9.8,10,10,9.32,10,0,0,0,8,0,0,0,0,0,0,15,0,0,0,0,0,15,0,3,3,3,2,3,3,2,2,2,2,2,3,3,2,3,0,3,2,3,2,2,0,2,4,3,3,6,11,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,39.5,54,20,20,103,97.47,97.47,97.47,97.47,100,100,100,100,96.7,96.7,96.7,96.7,84.44,84.44,84.44,84.44,46.75,46.75,46.75,46.75,100,100,100,100,51.5,51.5,51.5,51.5,73.46,73.46,73.46,73.46,C,C,C,C,,,
F23.17,10,10,10,9.6,9.57,10,10,10,9.81,10,10,8.12,10,10,10,10,10,10,0,9.41,9.8,5,5,9.51,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,14,0,0,0,3,3,3,0,3,3,0,2,2,2,0,3,3,2,4,2,2,2,0,2,3,5,2,2,3,1,1,0,0,2,0,2,2,2,0,2,0,2,2,0,2,2,0,94,75,20,20,124,82.61,82.61,82.61,82.61,69.23,69.23,69.23,69.23,89.86,89.86,89.86,89.86,84.44,84.44,84.44,84.44,84.5,84.5,84.5,84.5,100,100,100,100,62,62,62,62,82.37,82.37,82.37,82.37,B,B,B,B,,,
F23.18,10,9.67,9.54,10,9.57,9.64,9.58,10,9.62,10,10,10,10,10,10,9.47,10,9.68,8.25,9.41,10,9.71,10,9.67,9.63,0,13,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,3,3,3,0,3,3,2,2,2,2,3,3,3,2,4,2,3,0,3,2,3,5,2,4,3,3,6,0,2,2,0,2,2,2,2,2,2,2,0,2,2,2,0,94.5,91,20,20,158,100,100,100,100,92.31,92.31,92.31,92.31,97.74,97.74,97.74,97.74,91.11,91.11,91.11,91.11,92.75,92.75,92.75,92.75,100,100,100,100,79,79,79,79,92.39,92.39,92.39,92.39,A,A,A,A,,,
F23.19,10,9.34,8.62,9,9.56,9.64,9.59,10,9.05,9.26,10,10,1.15,5.21,1.96,10,5.83,4.68,9.25,9.41,0,4.86,10,9.32,10,0,0,13,0,0,0,0,0,15,0,0,0,0,12,0,0,0,0,3,3,0,0,3,3,2,2,2,2,3,3,3,0,3,2,3,1,3,2,3,4,2,4,3,3,6,8,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,90,73,20,20,91,93.15,93.15,93.15,93.15,100,100,100,100,85.43,85.43,85.43,85.43,88.89,88.89,88.89,88.89,81.5,81.5,81.5,81.5,100,100,100,100,45.5,45.5,45.5,45.5,80.62,80.62,80.62,80.62,B,B,B,B,,,
F23.20,10,9.66,9.09,0,9.57,10,10,10,9.43,9.63,10,8.74,9.32,4.87,1.82,9.47,7.51,8.72,10,10,10,10,10,9.66,9.63,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,11,3,3,3,0,3,0,0,0,2,0,3,0,3,2,4,0,0,2,3,2,3,5,2,0,0,0,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,97,92,20,20,166,75.95,75.95,75.95,75.95,100,100,100,100,95.65,95.65,95.65,95.65,86.67,86.67,86.67,86.67,94.5,94.5,94.5,94.5,100,100,100,100,83,83,83,83,91.51,91.51,91.51,91.51,A,A,A,A,,,
F23.21,6.67,0,9.08,1.5,7.85,2.33,2.65,8.32,8.5,7.78,10,3.12,0,0,0.84,4.23,1.66,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,2,2,0,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,0,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,40.5,12,0,0,0,94.2,94.2,94.2,94.2,92.31,92.31,92.31,92.31,33.88,33.88,33.88,33.88,57.78,57.78,57.78,57.78,26.25,26.25,26.25,26.25,0,0,0,0,0,0,0,0,34.34,34.34,34.34,34.34,F,F,F,F,,,
F23.22,0,0,0,0,0.88,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,3,2,1,2,1,2,3,1,3,1,4,2,0,0,0,1,0,3,0,3,0,3,0,0,2,2,2,2,2,2,0,2,2,2,2,0,0,0,0,49,0,0,0,0,63.77,63.77,63.77,63.77,76.92,76.92,76.92,76.92,2.85,2.85,2.85,2.85,0,0,0,0,24.5,24.5,24.5,24.5,0,0,0,0,0,0,0,0,15.1,15.1,15.1,15.1,F,F,F,F,,,
F23.23,10,9.33,10,9.6,10,10,9.58,10,9.81,10,10,10,10,9.47,10,10,10,8.1,10,10,9.8,10,10,8.98,10,0,0,10,0,0,0,0,10,0,0,0,0,0,15,0,0,0,0,3,3,3,2,3,3,2,2,0,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,85,68,20,20,122,100,100,100,100,100,100,100,100,99.21,99.21,99.21,99.21,77.78,77.78,77.78,77.78,76.5,76.5,76.5,76.5,100,100,100,100,61,61,61,61,83.57,83.57,83.57,83.57,B,B,B,B,,,
F23.24,10,10,9.54,10,9.14,9.65,9.59,10,8.11,8.52,10,10,10,10,10,9.47,8.34,9.68,10,10,9.6,10,10,8.98,10,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,15,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,76,76,20,20,127,100,100,100,100,100,100,100,100,98.02,98.02,98.02,98.02,75.56,75.56,75.56,75.56,76,76,76,76,100,100,100,100,63.5,63.5,63.5,63.5,83.16,83.16,83.16,83.16,B,B,B,B,,,
F23.25,10,9.34,10,9.6,10,9.64,9.79,10,9.24,9.63,10,9.37,9.32,9.73,9.73,8.94,8.33,10,9.75,9.41,10,10,9.37,10,10,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,15,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,93,95,20,20,159,100,100,100,100,100,100,100,100,97.58,97.58,97.58,97.58,100,100,100,100,94,94,94,94,100,100,100,100,79.5,79.5,79.5,79.5,94.52,94.52,94.52,94.52,A,A,A,A,,,
F23.26,10,4.83,8.63,4.55,9.57,9.64,0.84,2.72,2.91,4.82,5,3.75,0.66,0.26,8.91,4.74,9.16,9.36,0.38,0,8,5,9.38,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,EX,0,3,2,3,3,1,2,2,2,3,3,3,2,4,2,3,2,2,0,3,5,0,0,3,0,4,10,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,56.5,81,0,20,101,88.16,88.16,88.16,88.16,100,100,100,100,55.83,55.83,55.83,55.83,46.67,46.67,46.67,46.67,68.75,68.75,68.75,68.75,50,50,50,50,50.5,50.5,50.5,50.5,61.07,61.07,61.07,61.07,D,D,D,D,,,
F23.27,10,9.67,10,9,8.24,10,8.12,10,8.86,7.78,10,10,0,7.36,8.9,8.94,10,8.44,9.25,9.41,4.3,9.42,8.74,8.98,10,0,0,11,0,0,0,0,0,15,0,0,0,0,0,12,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,2,2,4,0,3,2,3,2,3,5,1,3,3,3,5,9,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,67,32,20,20,65.7,95.95,95.95,95.95,95.95,100,100,100,100,91.03,91.03,91.03,91.03,84.44,84.44,84.44,84.44,49.5,49.5,49.5,49.5,100,100,100,100,32.85,32.85,32.85,32.85,70,70,70,70,C,C,C,C,,,
F23.28,0,0,0,1.5,9.56,10,8.15,8.8,8.3,10,10,9.37,2.67,0,0,0,0,4.53,5.25,8.23,8.6,5.04,6.25,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,0,1,2,2,2,3,3,3,2,4,0,2,2,0,0,2,4,1,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,58,0,0,0,0,71.01,71.01,71.01,71.01,76.92,76.92,76.92,76.92,52.84,52.84,52.84,52.84,42.22,42.22,42.22,42.22,29,29,29,29,0,0,0,0,0,0,0,0,35.64,35.64,35.64,35.64,F,F,F,F,,,
F23.29,10,9.67,10,0,9.57,9.64,9.6,10,9.81,10,10,10,10,9.73,9.72,10,10,10,10,9.41,9.8,10,10,9.67,10,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,15,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,1,3,2,3,0,3,5,2,4,3,3,5,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,98,93,20,20,175,100,100,100,100,100,100,100,100,98.93,98.93,98.93,98.93,100,100,100,100,95.5,95.5,95.5,95.5,100,100,100,100,87.5,87.5,87.5,87.5,96.51,96.51,96.51,96.51,A,A,A,A,,,
F23.30,10,10,9.54,5,10,10,3.07,4.64,9.62,8.15,0,0.31,0,0,0,1.58,0,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,11,0,3,3,2,1,3,1,2,2,1,2,0,0,0,0,0,0,0,2,0,2,2,0,0,1,1,0,0,0,2,0,2,2,2,2,2,0,0,2,2,2,2,0,0,82,55,20,0,76,41.79,41.79,41.79,41.79,76.92,76.92,76.92,76.92,41.78,41.78,41.78,41.78,91.11,91.11,91.11,91.11,68.5,68.5,68.5,68.5,50,50,50,50,38,38,38,38,58.8,58.8,58.8,58.8,F,F,F,F,,,
