Midterm 1 - extra 2 points (Fall 24),Midterm 2 - extra 5 points (Fall 24),Student,Midterm 1,Midterm 2,Maintenance - Midterm 1,Maintenance - Midterm 2,Final Exam
,,F23.83,86,75,20,20,179
,,F23.84,80,62,20,0,146
,,F23.85,93,94,20,20,169
,,F23.86,52,0,0,0,95
,,F23.87,83,93,20,20,144
,,F23.88,86.5,66,20,0,123
,,F23.89,94,95,20,20,183
,,F23.90,94,70,20,20,164
,,F23.91,96,93,20,20,191
,,F23.92,89.5,95,20,20,143
,,F23.93,72,47,20,20,109
,,F23.94,79,93,20,20,141
,,F23.95,85,85,20,20,145
,,F23.96,89,95,20,20,178
,,F23.97,39.5,0,0,0,0
,,F23.98,92,95,20,20,168
,,F23.99,89,95,20,20,194
,,F23.100,97,94,20,20,188
,,F23.101,75,78,20,20,108
,,F23.102,70.5,55,20,20,104
,,F23.103,83,72,20,20,152
,,F23.104,76,72,20,20,117
,,F23.105,87.5,85,20,20,163
,,F23.106,81,77,20,20,172
,,F23.107,91,89,20,20,183
,,F23.108,87,89,20,20,175
,,F23.109,40,0,0,0,0
,,F23.110,80,72,20,20,128
,,F23.111,91.5,84,20,20,186
,,F23.112,85,78,20,20,164
,,F23.113,87,75,20,20,136
,,F23.114,80,59,20,20,109.5
,,F23.115,99,99,20,20,187
