Student,Informational Survey - No Drop (409780),Syllabus and Canvas Hunt - No Drop (423082),HW 1: Vocab (435821),HW 2: Qualitative Data (414111),HW 3: Quantitative Displays (434821),HW 4: Quantitative Data part 1 (434822),HW 5: Quantitative Data part 2 (434825),"HW 6: Z-scores, Empirical Rule, Percentiles (434823)",HW 7R: Midterm 1 Review - NO DROP (434824),HW 8: Scatterplots and correlation (460555),"HW 9: Correlation, Regression (460556)",HW 10: Probability (460557),HW 11: RV & Normal Dist part 1 (460558),HW 12: Normal Distribution part 2 (460559),HW 13: Sampling Distributions of p-hat (460560),HW 14: 1 sample CI for p (part 1) (460563),HW 15: 1 sample CI for p (part 2) (460562),HW 16: Hypotheses and Errors (485107),HW 17: 1 sample HT for p (485108),HW 18: Sampling Distribution of x-bar (485058),HW 19: 1 sample CI for mu (485061),HW 20: 1 sample HT for mu (485062),HW 21: Review - NO DROP (573550),HW 22: Tests for Independence (573549),HW 23: Review - NO DROP (573622),Week 2 (408093),Week 3 (408094),Week 4 (408095),Week 5 (408096),Week 6 (408097),Week 7 (408098),Week 8 (408099),Week 9 (408100),Week 10 (408101),Week 12 (408102),Week 13 (408103),Week 14 (408104),Week 15 (408105),Week 16 - NO Drop (408106),Project 1 (408190),Project 2 (408191),Project 3 (408192),Midterm 1 (408091),Midterm 2 (408092),Maintenance - Midterm 1 (408087),Maintenance - Midterm 2  (408088),Final Exam (408066),Research Survey 1 (409969),Research Survey 2 (572727),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Activity Attendance & Participation Current Points,Activity Attendance & Participation Final Points,Activity Attendance & Participation Current Score,Activity Attendance & Participation Unposted Current Score,Activity Attendance & Participation Final Score,Activity Attendance & Participation Unposted Final Score,Projects Current Points,Projects Final Points,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Midterm Exams Current Points,Midterm Exams Final Points,Midterm Exams Current Score,Midterm Exams Unposted Current Score,Midterm Exams Final Score,Midterm Exams Unposted Final Score,Maintenance Current Points,Maintenance Final Points,Maintenance Current Score,Maintenance Unposted Current Score,Maintenance Final Score,Maintenance Unposted Final Score,Final Exam Current Points,Final Exam Final Points,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Research Surveys - Extra Credit Current Points,Research Surveys - Extra Credit Final Points,Research Surveys - Extra Credit Current Score,Research Surveys - Extra Credit Unposted Current Score,Research Surveys - Extra Credit Final Score,Research Surveys - Extra Credit Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Override Score,Override Status
S23.10,10,20,8.32,9.54,0,0,10,10,19.04,9.44,10,9.8,7.01,8.41,10,5.29,10,9.68,10,10,10,10,20,10,20,5,5,5,0,5,5,5,0,0,5,5,4,5,5,0,54,60,43,68,25,25,77,10,10,251.24,251.24,96.63,96.63,96.63,96.63,54,54,90,90,90,90,114,114,63.33,63.33,63.33,63.33,111,111,44.4,44.4,44.4,44.4,50,50,100,100,100,100,77,77,38.5,38.5,38.5,38.5,20,20,,,,,677.24,677.24,67.72,67.72,67.72,67.72,,
S23.11,10,20,10,10,10,8.71,9.64,10,20,9.06,9.63,10,9.32,9.73,10,10,9.16,10,10,9.42,8.74,10,20,9.73,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,54,56,59,122,117,25,25,97,10,10,256.63,256.63,98.7,98.7,98.7,98.7,60,60,100,100,100,100,169,169,93.89,93.89,93.89,93.89,239,239,95.6,95.6,95.6,95.6,50,50,100,100,100,100,97,97,48.5,48.5,48.5,48.5,20,20,,,,,891.63,891.63,89.16,89.16,89.16,89.16,,
S23.12,10,20,9.33,9.54,10,10,10,9.79,20,9.24,9.63,10,6.25,8.67,10,9.48,9.17,10,8.83,7.39,8.74,5.98,0,2.43,17.04,5,5,5,5,5,5,4,5,5,0,5,0,5,5,54,49,0,112,97,25,25,112,10,10,226.85,226.85,87.25,87.25,87.25,87.25,59,59,98.33,98.33,98.33,98.33,103,103,57.22,57.22,57.22,57.22,209,209,83.6,83.6,83.6,83.6,50,50,100,100,100,100,112,112,56,56,56,56,20,20,,,,,779.85,779.85,77.99,77.99,77.99,77.99,,
S23.13,10,0,9.32,10,8.4,0,0,0,20,9.43,10,9.6,9.33,3.67,10,8.42,9.17,10,10,0,10,4.66,18.4,0,20,5,5,5,0,5,5,5,5,5,5,5,0,5,5,0,55,52,118,113,25,25,128,10,0,200.4,200.4,77.08,77.08,77.08,77.08,60,60,100,100,100,100,107,107,59.44,59.44,59.44,59.44,231,231,92.4,92.4,92.4,92.4,50,50,100,100,100,100,128,128,64,64,64,64,10,10,,,,,786.4,786.4,78.64,78.64,78.64,78.64,,
S23.14,10,16,8.68,8.63,9.4,9.13,10,8.32,20,9.24,9.26,10,7.95,4.72,0.84,0,0,2.03,0,9.13,10,0,0,0,0,5,5,5,5,5,5,5,0,0,4,5,5,0,5,0,0,0,75,89,25,25,110,10,10,163.33,163.33,65.33,65.33,65.33,65.33,54,54,90,90,90,90,0,0,0,0,0,0,164,164,65.6,65.6,65.6,65.6,50,50,100,100,100,100,110,110,55,55,55,55,20,20,,,,,561.33,561.33,56.7,56.7,56.7,56.7,,
S23.15,10,16,9.67,10,9.3,9.13,9.64,9.79,20,9.82,10,10,9.55,0,9.72,8.94,9.16,10,8.83,10,10,9.67,20,9.73,20,5,5,5,5,5,5,5,5,5,0,5,5,0,5,60,59,59,122,108,25,25,157,10,10,251.18,251.18,96.61,96.61,96.61,96.61,60,60,100,100,100,100,178,178,98.89,98.89,98.89,98.89,230,230,92,92,92,92,50,50,100,100,100,100,157,157,78.5,78.5,78.5,78.5,20,20,,,,,946.18,946.18,94.62,94.62,94.62,94.62,,
S23.16,10,20,9.67,10,10,10,10,10,20,9.81,8.89,10,6.09,3.54,10,6.6,7.5,10,8.82,7.84,7.5,5.98,19.6,4.33,20,5,0,5,5,5,5,0,0,5,0,5,0,0,0,60,60,49,113,87,25,0,119,10,10,242.31,242.31,93.2,93.2,93.2,93.2,35,35,58.33,58.33,58.33,58.33,169,169,93.89,93.89,93.89,93.89,200,200,80,80,80,80,25,25,50,50,50,50,119,119,59.5,59.5,59.5,59.5,20,20,,,,,810.31,810.31,81.03,81.03,81.03,81.03,,
S23.17,10,20,9.66,10,9.4,7.38,9.64,7.27,20,8.29,8.15,10,7.03,0,9.72,6.86,9.17,7.49,8.24,9.71,8.74,8.66,19.6,9.46,20,5,5,5,5,5,5,0,5,5,5,5,0,5,5,47,41,52,78,71,0,25,100,10,10,240.58,240.58,92.53,92.53,92.53,92.53,60,60,100,100,100,100,140,140,77.78,77.78,77.78,77.78,149,149,59.6,59.6,59.6,59.6,25,25,50,50,50,50,100,100,50,50,50,50,20,20,,,,,734.58,734.58,73.46,73.46,73.46,73.46,,
S23.18,10,20,10,10,10,10,10,10,20,9.81,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,58,60,110,114,25,25,146,10,10,260,260,100,100,100,100,60,60,100,100,100,100,178,178,98.89,98.89,98.89,98.89,224,224,89.6,89.6,89.6,89.6,50,50,100,100,100,100,146,146,73,73,73,73,20,20,,,,,938,938,93.8,93.8,93.8,93.8,,
S23.19,10,20,9,9.09,10,10,9.28,9.79,20,9.24,10,10,9.55,10,9.72,10,9.17,10,10,10,10,9.67,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,60,86,110,25,25,138,10,10,257.25,257.25,98.94,98.94,98.94,98.94,60,60,100,100,100,100,180,180,100,100,100,100,196,196,78.4,78.4,78.4,78.4,50,50,100,100,100,100,138,138,69,69,69,69,20,20,,,,,901.25,901.25,90.13,90.13,90.13,90.13,,
S23.20,10,20,10,9.54,10,9.57,10,9.39,20,9.81,10,10,10,10,10,10,10,10,10,10,10,9.67,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,60,128,125,25,25,179,10,10,259.48,259.48,99.8,99.8,99.8,99.8,60,60,100,100,100,100,180,180,100,100,100,100,253,253,101.2,101.2,101.2,101.2,50,50,100,100,100,100,179,179,89.5,89.5,89.5,89.5,20,20,,,,,1001.48,1001.48,100.15,100.15,100.15,100.15,,
S23.21,10,20,10,10,10,10,9.64,10,20,9.82,10,10,10,9.73,10,10,10,9.38,9.41,9.71,10,10,20,10,17.04,5,5,5,5,5,5,5,5,0,5,5,5,5,5,56,50,54,112,113,25,25,137,10,10,248.9,248.9,99.56,99.56,99.56,99.56,60,60,100,100,100,100,160,160,88.89,88.89,88.89,88.89,225,225,90,90,90,90,50,50,100,100,100,100,137,137,68.5,68.5,68.5,68.5,20,20,,,,,900.9,900.9,91,91,91,91,,
S23.22,10,20,10,9.54,9.6,10,10,10,20,9.25,10,10,10,10,5,9.47,8.34,10,9.42,10,10,10,19.6,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,60,122,120,25,25,195,10,10,257.63,257.63,99.09,99.09,99.09,99.09,60,60,100,100,100,100,177,177,98.33,98.33,98.33,98.33,242,242,96.8,96.8,96.8,96.8,50,50,100,100,100,100,195,195,97.5,97.5,97.5,97.5,20,20,,,,,1001.63,1001.63,100.16,100.16,100.16,100.16,,
S23.23,10,20,10,10,9.3,9.13,10,9.8,20,9.62,10,10,8.64,9.74,10,10,8.34,9.69,9.41,9.14,10,8.65,19.6,2.17,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,56,60,102,97,25,25,130,10,10,254.08,254.08,97.72,97.72,97.72,97.72,60,60,100,100,100,100,176,176,97.78,97.78,97.78,97.78,199,199,79.6,79.6,79.6,79.6,50,50,100,100,100,100,130,130,65,65,65,65,20,20,,,,,889.08,889.08,88.91,88.91,88.91,88.91,,
S23.24,10,20,9,10,9.4,9.56,9.64,10,20,9.43,10,10,9.77,9.74,9.72,10,10,9.38,9.41,9.71,10,9.67,19.6,9.73,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,57,56,54,99,103,25,25,160,10,10,255.98,255.98,98.45,98.45,98.45,98.45,60,60,100,100,100,100,167,167,92.78,92.78,92.78,92.78,202,202,80.8,80.8,80.8,80.8,50,50,100,100,100,100,160,160,80,80,80,80,20,20,,,,,914.98,914.98,91.5,91.5,91.5,91.5,,
S23.25,10,20,9.34,8.64,9.4,10,9.28,7.48,19.52,10,9.63,10,8.41,8.67,9.72,5,8.34,10,9.41,4.86,10,9.33,19.2,8.65,20,5,5,5,5,5,5,5,0,5,5,5,0,5,5,54,44,54,88,89,25,25,85,10,10,247.54,247.54,95.21,95.21,95.21,95.21,60,60,100,100,100,100,152,152,84.44,84.44,84.44,84.44,177,177,70.8,70.8,70.8,70.8,50,50,100,100,100,100,85,85,42.5,42.5,42.5,42.5,20,20,,,,,791.54,791.54,79.15,79.15,79.15,79.15,,
S23.26,10,20,9.67,9.54,9.7,9.13,9.64,10,20,9.62,10,10,8.85,7.36,9.16,9.47,10,10,9.41,9.42,10,7.34,20,0.54,14.82,5,5,5,5,5,5,5,5,5,5,5,5,5,5,55,57,58,124,110,25,25,139,10,10,240.97,240.97,96.39,96.39,96.39,96.39,60,60,100,100,100,100,170,170,94.44,94.44,94.44,94.44,234,234,93.6,93.6,93.6,93.6,50,50,100,100,100,100,139,139,69.5,69.5,69.5,69.5,20,20,,,,,913.97,913.97,92.32,92.32,92.32,92.32,,
S23.27,10,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,59,60,121,121,25,25,153,10,10,250,250,100,100,100,100,60,60,100,100,100,100,179,179,99.44,99.44,99.44,99.44,242,242,96.8,96.8,96.8,96.8,50,50,100,100,100,100,153,153,76.5,76.5,76.5,76.5,20,20,,,,,954,954,96.36,96.36,96.36,96.36,,
S23.28,10,20,10,10,10,9.57,9.64,10,20,9.24,9.26,9.1,9.12,9.2,9.73,8.94,10,10,9.41,10,10,8.65,18.8,9.73,19.26,5,EX,5,5,5,4,5,2,0,2,5,5,5,5,57,58,59,98,110,25,25,139.5,10,10,252.96,252.96,97.29,97.29,97.29,97.29,51,51,92.73,92.73,92.73,92.73,174,174,96.67,96.67,96.67,96.67,208,208,83.2,83.2,83.2,83.2,50,50,100,100,100,100,139.5,139.5,69.75,69.75,69.75,69.75,20,20,,,,,895.46,895.46,90,90,90,90,,
S23.29,10,20,10,7.73,9.6,9.14,10,8.99,20,10,9.63,10,9.55,10,10,8.94,8.34,9.69,9.41,9.42,10,9.34,19.6,9.72,15.56,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,60,102,120,25,25,110,10,10,243.03,243.03,97.21,97.21,97.21,97.21,60,60,100,100,100,100,177,177,98.33,98.33,98.33,98.33,222,222,88.8,88.8,88.8,88.8,50,50,100,100,100,100,110,110,55,55,55,55,20,20,,,,,882.03,882.03,89.09,89.09,89.09,89.09,,
S23.30,10,20,9.67,9.08,10,10,10,9.79,19.04,4.91,0.38,10,10,8.81,10,10,9.17,9.38,10,10,8.11,9.67,20,9.73,19.26,5,5,5,5,5,0,5,5,0,5,5,5,2,5,58,56,54,120,110,25,25,162,10,10,253.6,253.6,97.54,97.54,97.54,97.54,57,57,95,95,95,95,168,168,93.33,93.33,93.33,93.33,230,230,92,92,92,92,50,50,100,100,100,100,162,162,81,81,81,81,20,20,,,,,940.6,940.6,94.06,94.06,94.06,94.06,,
S23.31,10,18,10,9.08,9.4,9.14,10,9.39,20,9.24,9.63,10,5,4.87,8.91,9.48,10,9.05,8.23,9.42,8.74,6.49,18.8,8.64,17.78,5,5,5,5,5,5,4,5,5,4,5,0,5,5,54,50,42,103,91,25,25,120,10,10,242.93,242.93,93.43,93.43,93.43,93.43,59,59,98.33,98.33,98.33,98.33,146,146,81.11,81.11,81.11,81.11,194,194,77.6,77.6,77.6,77.6,50,50,100,100,100,100,120,120,60,60,60,60,20,20,,,,,831.93,831.93,83.19,83.19,83.19,83.19,,
S23.32,10,0,0,0,0,8.71,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,26.43,26.43,10.57,10.57,10.57,10.57,15,15,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,,,51.43,51.43,5.19,5.19,5.19,5.19,,
S23.33,10,18,10,9.54,9.6,9.56,10,10,20,9.45,10,10,9.54,5,10,10,10,10,9.41,9.71,9.37,3.66,17.2,1.63,20,5,5,5,5,5,5,5,5,5,5,5,5,5,0,60,59,60,126,106,25,25,129,10,10,251.38,251.38,96.68,96.68,96.68,96.68,55,55,91.67,91.67,91.67,91.67,179,179,99.44,99.44,99.44,99.44,232,232,92.8,92.8,92.8,92.8,50,50,100,100,100,100,129,129,64.5,64.5,64.5,64.5,20,20,,,,,916.38,916.38,91.64,91.64,91.64,91.64,,
S23.34,10,20,10,10,10,9.14,9.64,0,20,0,0,5,10,4.87,0,5,10,9.06,9.41,9.71,9.38,1.33,19.6,10,20,5,5,5,5,5,5,5,3,0,5,5,5,0,5,60,53,0,123,107,25,25,142,10,10,222.14,222.14,85.44,85.44,85.44,85.44,58,58,96.67,96.67,96.67,96.67,113,113,62.78,62.78,62.78,62.78,230,230,92,92,92,92,50,50,100,100,100,100,142,142,71,71,71,71,20,20,,,,,835.14,835.14,83.51,83.51,83.51,83.51,,
S23.35,10,20,9.67,9.54,9.7,9.57,9.64,8.55,19.52,9.43,2.23,9.79,8.86,8.94,7.22,3.7,7.49,7.21,7.64,9.72,8.74,7,19.8,9.73,14.08,5,5,5,5,5,0,5,5,5,0,5,5,5,5,55,56,60,97,69,25,25,71,10,10,227.76,227.76,91.1,91.1,91.1,91.1,60,60,100,100,100,100,171,171,95,95,95,95,166,166,66.4,66.4,66.4,66.4,50,50,100,100,100,100,71,71,35.5,35.5,35.5,35.5,20,20,,,,,765.76,765.76,77.35,77.35,77.35,77.35,,
S23.36,10,20,9.66,9.54,10,9.13,9.29,9.59,20,9.05,8.15,10,2.64,0,0,0,0,7.46,8.82,10,8.11,10,19.2,7.02,20,5,5,5,0,5,5,0,5,5,0,5,5,5,0,51,59,55,118,112,25,25,200,10,10,227.66,227.66,87.56,87.56,87.56,87.56,50,50,83.33,83.33,83.33,83.33,165,165,91.67,91.67,91.67,91.67,230,230,92,92,92,92,50,50,100,100,100,100,200,200,100,100,100,100,20,20,,,,,942.66,942.66,94.27,94.27,94.27,94.27,,
S23.37,10,20,9.33,6.37,9.7,10,9.64,8.34,20,9.25,8.52,8.95,8.42,7.33,5.83,0,8.34,9.07,8.82,9.14,0,0.66,18.8,8.64,20,5,5,0,0,5,4,5,0,0,5,5,0,5,0,55,56,37,84,93,25,25,108,10,10,234.49,234.49,90.19,90.19,90.19,90.19,39,39,65,65,65,65,148,148,82.22,82.22,82.22,82.22,177,177,70.8,70.8,70.8,70.8,50,50,100,100,100,100,108,108,54,54,54,54,20,20,,,,,776.49,776.49,77.65,77.65,77.65,77.65,,
S23.38,10,20,10,10,10,9.56,9.64,10,19.52,8.86,10,10,9.33,9.47,9.44,9.47,8.33,10,8.82,10,10,9.66,20,10,20,5,5,5,5,5,0,5,5,5,5,5,0,5,5,60,57,57,117,96,25,25,177,10,10,256.09,256.09,98.5,98.5,98.5,98.5,60,60,100,100,100,100,174,174,96.67,96.67,96.67,96.67,213,213,85.2,85.2,85.2,85.2,50,50,100,100,100,100,177,177,88.5,88.5,88.5,88.5,20,20,,,,,950.09,950.09,95.01,95.01,95.01,95.01,,
S23.39,10,20,10,9.54,10,10,10,10,20,9.81,10,10,9.78,10,10,9.47,10,10,10,10,10,9.66,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,60,126,125,25,25,163,10,10,259.59,259.59,99.84,99.84,99.84,99.84,60,60,100,100,100,100,180,180,100,100,100,100,251,251,100.4,100.4,100.4,100.4,50,50,100,100,100,100,163,163,81.5,81.5,81.5,81.5,20,20,,,,,983.59,983.59,98.36,98.36,98.36,98.36,,
S23.40,10,20,10,10,0,9.13,10,8.99,20,8.87,7.41,0,0,0,9.72,5,10,4.2,9.41,8.55,0,8,16.4,0,20,5,5,5,5,5,5,0,5,5,5,5,5,5,5,54,0,43,113,113,25,25,113,10,0,205.68,205.68,79.11,79.11,79.11,79.11,60,60,100,100,100,100,97,97,53.89,53.89,53.89,53.89,226,226,90.4,90.4,90.4,90.4,50,50,100,100,100,100,113,113,56.5,56.5,56.5,56.5,10,10,,,,,761.68,761.68,76.17,76.17,76.17,76.17,,
S23.41,10,20,9.33,2.76,9.3,7.85,9.64,8.76,15.2,8.68,10,9.09,5.66,8.15,9.72,8.95,8.34,10,10,1.73,7.49,8.18,16,7.03,15.56,5,5,5,5,5,5,4,3,5,4,5,5,5,5,43,56,60,77,72,25,25,95,10,10,227.26,227.26,87.41,87.41,87.41,87.41,59,59,98.33,98.33,98.33,98.33,159,159,88.33,88.33,88.33,88.33,149,149,59.6,59.6,59.6,59.6,50,50,100,100,100,100,95,95,47.5,47.5,47.5,47.5,20,20,,,,,759.26,759.26,75.93,75.93,75.93,75.93,,
S23.42,10,20,10,9.54,10,9.56,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,58,59,119,114,25,25,144,10,10,260,260,100,100,100,100,60,60,100,100,100,100,177,177,98.33,98.33,98.33,98.33,233,233,93.2,93.2,93.2,93.2,50,50,100,100,100,100,144,144,72,72,72,72,20,20,,,,,944,944,94.4,94.4,94.4,94.4,,
S23.43,10,20,8.99,9.54,9.3,7.81,10,10,20,9.62,10,10,7.59,9.73,10,10,10,6.41,9.41,10,10,8.31,20,9.73,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,57,58,59,104,116,25,25,162,10,10,254.63,254.63,97.93,97.93,97.93,97.93,60,60,100,100,100,100,174,174,96.67,96.67,96.67,96.67,220,220,88,88,88,88,50,50,100,100,100,100,162,162,81,81,81,81,20,20,,,,,940.63,940.63,94.06,94.06,94.06,94.06,,
S23.44,10,20,9.01,10,10,9.57,9.28,9.18,20,9.62,8.52,10,9.09,3.4,5.31,1.58,4.57,0.93,0,8.27,6.26,0,6,1.08,13.34,5,5,5,5,5,0,0,0,0,0,5,0,0,0,60,58,47,125,92,25,25,94,10,10,194.08,194.08,74.64,74.64,74.64,74.64,30,30,50,50,50,50,165,165,91.67,91.67,91.67,91.67,217,217,86.8,86.8,86.8,86.8,50,50,100,100,100,100,94,94,47,47,47,47,20,20,,,,,770.08,770.08,77.01,77.01,77.01,77.01,,
S23.45,10,20,9.01,8.64,9.4,9.57,10,9.79,19.04,9.62,8.89,9.2,3.48,8.69,9.46,9.47,8.34,0,8.82,10,9.37,6.31,18.4,7.84,16.3,5,5,5,5,5,5,4,5,5,4,5,5,5,5,60,59,58,60,62,25,25,73,10,10,239.85,239.85,92.25,92.25,92.25,92.25,60,60,100,100,100,100,177,177,98.33,98.33,98.33,98.33,122,122,48.8,48.8,48.8,48.8,50,50,100,100,100,100,73,73,36.5,36.5,36.5,36.5,20,20,,,,,741.85,741.85,74.19,74.19,74.19,74.19,,
S23.46,10,20,10,10,9.7,10,9.64,9.79,17.12,7.53,8.15,10,2.88,8.44,6.96,10,10,10,2.92,10,8.12,3.67,0,10,12.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,52,49,54,118,104,25,25,158,10,10,218.05,218.05,83.87,83.87,83.87,83.87,60,60,100,100,100,100,155,155,86.11,86.11,86.11,86.11,222,222,88.8,88.8,88.8,88.8,50,50,100,100,100,100,158,158,79,79,79,79,20,20,,,,,883.05,883.05,88.31,88.31,88.31,88.31,,
S23.47,10,20,10,10,5.8,7.39,9.28,10,20,10,10,10,7.74,9.21,10,9.47,10,10,9.41,10,10,6.32,18.8,1.62,14.82,5,5,5,0,5,5,0,5,5,0,5,0,5,0,48,57,60,81,88,25,25,52,10,10,237.62,237.62,95.05,95.05,95.05,95.05,45,45,75,75,75,75,165,165,91.67,91.67,91.67,91.67,169,169,67.6,67.6,67.6,67.6,50,50,100,100,100,100,52,52,26,26,26,26,20,20,,,,,738.62,738.62,74.61,74.61,74.61,74.61,,
S23.48,10,20,10,9.09,9,8.71,9.64,9.79,20,8.86,10,10,9.78,8.95,10,9.47,10,9.07,8.83,9.13,10,10,18.8,8.38,20,5,5,5,5,5,5,5,0,0,5,5,5,5,0,60,56,60,108,115,25,25,124.5,10,10,251.58,251.58,96.76,96.76,96.76,96.76,55,55,91.67,91.67,91.67,91.67,176,176,97.78,97.78,97.78,97.78,223,223,89.2,89.2,89.2,89.2,50,50,100,100,100,100,124.5,124.5,62.25,62.25,62.25,62.25,20,20,,,,,900.08,900.08,90.01,90.01,90.01,90.01,,
S23.49,10,20,9,10,9.6,10,10,9.37,20,9.63,9.63,10,10,9.73,10,9.47,9.17,9.69,10,5,10,9.67,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,56,60,57,100,117,25,25,166,10,10,256.79,256.79,98.77,98.77,98.77,98.77,60,60,100,100,100,100,173,173,96.11,96.11,96.11,96.11,217,217,86.8,86.8,86.8,86.8,50,50,100,100,100,100,166,166,83,83,83,83,20,20,,,,,942.79,942.79,94.28,94.28,94.28,94.28,,
S23.50,10,18,9,7.27,8.8,0,2.52,3.14,0,9.06,9.26,9.8,6.59,5.79,9.19,10,9.17,9.37,10,9.43,10,6.33,20,5.14,11.86,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,54,55,84,82,25,25,75,10,10,204.06,204.06,78.48,78.48,78.48,78.48,60,60,100,100,100,100,167,167,92.78,92.78,92.78,92.78,166,166,66.4,66.4,66.4,66.4,50,50,100,100,100,100,75,75,37.5,37.5,37.5,37.5,20,20,,,,,742.06,742.06,74.21,74.21,74.21,74.21,,
S23.51,10,20,9,9.54,9.1,9.57,10,9.17,20,9.46,10,10,9.56,10,9.72,9.47,8.33,9.07,10,10,10,9.66,20,6.76,19.26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,53,58,60,120,120,25,25,183,10,10,253.58,253.58,97.53,97.53,97.53,97.53,60,60,100,100,100,100,171,171,95,95,95,95,240,240,96,96,96,96,50,50,100,100,100,100,183,183,91.5,91.5,91.5,91.5,20,20,,,,,977.58,977.58,97.76,97.76,97.76,97.76,,
S23.52,10,20,10,10,9.6,9.57,10,10,11.36,9.63,10,10,9.77,10,10,8.42,8.34,3.91,7.06,4.86,3.72,0,0,1.22,0,5,5,5,5,5,5,5,5,4,5,5,5,5,5,49,59,0,110,110,25,25,94,10,0,196.23,196.23,78.49,78.49,78.49,78.49,60,60,100,100,100,100,108,108,60,60,60,60,220,220,88,88,88,88,50,50,100,100,100,100,94,94,47,47,47,47,10,10,,,,,738.23,738.23,74.57,74.57,74.57,74.57,,
S23.53,10,20,9.67,9.54,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,0,5,54,59,60,100,124,25,25,125,10,10,260,260,100,100,100,100,60,60,100,100,100,100,173,173,96.11,96.11,96.11,96.11,224,224,89.6,89.6,89.6,89.6,50,50,100,100,100,100,125,125,62.5,62.5,62.5,62.5,20,20,,,,,912,912,91.2,91.2,91.2,91.2,,
S23.54,10,0,9,3.2,0,0,0,4.36,0,0,0,0,0,0,0,0,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.97,34.97,13.99,13.99,13.99,13.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,34.97,34.97,3.53,3.53,3.53,3.53,,
S23.55,10,20,10,10,10,10,9.29,9.16,20,9.24,10,9.6,7.27,9.2,10,9.47,8.34,8.43,8.83,9.71,10,7.31,0,8.65,16.3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,54,122,121,25,25,181,10,10,219.92,219.92,87.97,87.97,87.97,87.97,60,60,100,100,100,100,174,174,96.67,96.67,96.67,96.67,243,243,97.2,97.2,97.2,97.2,50,50,100,100,100,100,181,181,90.5,90.5,90.5,90.5,20,20,,,,,947.92,947.92,95.75,95.75,95.75,95.75,,
S23.56,10,20,10,9.54,9.7,10,10,10,20,10,10,10,10,10,10,10,10,5,8.83,10,10,10,20,10,20,5,5,5,5,5,4,5,5,0,5,5,5,5,5,57,60,60,128,121,25,25,174,10,10,259.7,259.7,99.88,99.88,99.88,99.88,60,60,100,100,100,100,177,177,98.33,98.33,98.33,98.33,249,249,99.6,99.6,99.6,99.6,50,50,100,100,100,100,174,174,87,87,87,87,20,20,,,,,989.7,989.7,98.97,98.97,98.97,98.97,,
S23.57,10,20,10,10,9.7,10,10,10,20,9.62,10,9.8,8.63,10,9.19,10,10,10,9.41,10,10,9.67,20,10,20,5,5,5,0,5,5,5,5,5,5,5,5,0,5,57,60,60,119,107,25,25,139,10,10,258.79,258.79,99.53,99.53,99.53,99.53,60,60,100,100,100,100,177,177,98.33,98.33,98.33,98.33,226,226,90.4,90.4,90.4,90.4,50,50,100,100,100,100,139,139,69.5,69.5,69.5,69.5,20,20,,,,,930.79,930.79,93.08,93.08,93.08,93.08,,
