Student,Informational Survey - No Drop (409780),Syllabus and Canvas Hunt - No Drop (423082),HW 1: Vocab (435821),HW 2: Qualitative Data (414111),HW 3: Quantitative Displays (434821),HW 4: Quantitative Data part 1 (434822),HW 5: Quantitative Data part 2 (434825),"HW 6: Z-scores, Empirical Rule, Percentiles (434823)",HW 7R: Midterm 1 Review - NO DROP (434824),HW 8: Scatterplots and correlation (460555),"HW 9: Correlation, Regression (460556)",HW 10: Probability (460557),HW 11: RV & Normal Dist part 1 (460558),HW 12: Normal Distribution part 2 (460559),HW 13: Sampling Distributions of p-hat (460560),HW 14: 1 sample CI for p (part 1) (460563),HW 15: 1 sample CI for p (part 2) (460562),HW 16: Hypotheses and Errors (485107),HW 17: 1 sample HT for p (485108),HW 18: Sampling Distribution of x-bar (485058),HW 19: 1 sample CI for mu (485061),HW 20: 1 sample HT for mu (485062),HW 21: Review - NO DROP (573550),HW 22: Tests for Independence (573549),HW 23: Review - NO DROP (573622),Week 2 (408093),Week 3 (408094),Week 4 (408095),Week 5 (408096),Week 6 (408097),Week 7 (408098),Week 8 (408099),Week 9 (408100),Week 10 (408101),Week 12 (408102),Week 13 (408103),Week 14 (408104),Week 15 (408105),Week 16 - NO Drop (408106),Project 1 (408190),Project 2 (408191),Project 3 (408192),Midterm 1 (408091),Midterm 2 (408092),Maintenance - Midterm 1 (408087),Maintenance - Midterm 2  (408088),Final Exam (408066),Research Survey 1 (409969),Research Survey 2 (572727),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Activity Attendance & Participation Current Points,Activity Attendance & Participation Final Points,Activity Attendance & Participation Current Score,Activity Attendance & Participation Unposted Current Score,Activity Attendance & Participation Final Score,Activity Attendance & Participation Unposted Final Score,Projects Current Points,Projects Final Points,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Midterm Exams Current Points,Midterm Exams Final Points,Midterm Exams Current Score,Midterm Exams Unposted Current Score,Midterm Exams Final Score,Midterm Exams Unposted Final Score,Maintenance Current Points,Maintenance Final Points,Maintenance Current Score,Maintenance Unposted Current Score,Maintenance Final Score,Maintenance Unposted Final Score,Final Exam Current Points,Final Exam Final Points,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Research Surveys - Extra Credit Current Points,Research Surveys - Extra Credit Final Points,Research Surveys - Extra Credit Current Score,Research Surveys - Extra Credit Unposted Current Score,Research Surveys - Extra Credit Final Score,Research Surveys - Extra Credit Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Override Score,Override Status
S23.139,10,20,10,9.54,9.7,10,10,10,20,9.24,10,10,10,4.87,5,9.47,10,9.69,10,9.72,9.37,10,9.8,10,20,5,5,5,5,5,4,5,5,,5,5,5,5,5,60,60,58,117,117,25,25,167,10,10,247.29,247.29,95.11,95.11,95.11,95.11,55,60,100,100,100,100,178,178,98.89,98.89,98.89,98.89,234,234,93.6,93.6,93.6,93.6,50,50,100,100,100,100,167,167,83.5,83.5,83.5,83.5,20,20,,,,,951.29,956.29,95.61,95.61,95.63,95.63,,
S23.140,10,20,9.67,0,10,10,10,10,20,4.81,10,10,10,5,10,5.79,10,9.69,10,10,9.37,10,10,10,20,5,0,5,5,5,5,5,5,5,5,5,5,5,5,54,58,60,128,120,25,25,194,10,10,244.52,244.52,94.05,94.05,94.05,94.05,60,60,100,100,100,100,172,172,95.56,95.56,95.56,95.56,248,248,99.2,99.2,99.2,99.2,50,50,100,100,100,100,194,194,97,97,97,97,20,20,,,,,988.52,988.52,98.85,98.85,98.85,98.85,,
S23.141,10,20,9.01,10,9.4,8.71,9.28,8.97,19.52,8.1,10,9.6,9.55,9.73,10,10,10,8.72,9.41,10,8.74,10,17.2,8.92,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,58,55,114,114,25,25,155,10,10,249.33,249.33,95.9,95.9,95.9,95.9,60,60,100,100,100,100,171,171,95,95,95,95,228,228,91.2,91.2,91.2,91.2,50,50,100,100,100,100,155,155,77.5,77.5,77.5,77.5,20,20,,,,,933.33,933.33,93.33,93.33,93.33,93.33,,
S23.142,10,0,10,9.54,0,9.12,7.86,10,19.04,9.63,8.52,9.8,7.01,9.47,2.52,10,10,8.75,0,9.43,0,7.98,0,0,0,5,5,0,5,5,5,5,5,5,5,5,0,5,5,52,60,60,117,112,25,25,105,10,0,168.67,168.67,67.47,67.47,67.47,67.47,60,60,100,100,100,100,172,172,95.56,95.56,95.56,95.56,229,229,91.6,91.6,91.6,91.6,50,50,100,100,100,100,105,105,52.5,52.5,52.5,52.5,10,10,,,,,794.67,794.67,80.27,80.27,80.27,80.27,,
S23.143,10,20,9.67,9.54,10,10,10,0,20,10,8.89,5,9.77,5,9.73,10,4.58,10,0,10,10,10,20,6.62,20,5,5,5,5,5,5,5,5,0,5,5,5,5,5,60,59,58,128,125,25,25,188,10,10,244.22,244.22,93.93,93.93,93.93,93.93,60,60,100,100,100,100,177,177,98.33,98.33,98.33,98.33,253,253,101.2,101.2,101.2,101.2,50,50,100,100,100,100,188,188,94,94,94,94,20,20,,,,,992.22,992.22,99.22,99.22,99.22,99.22,,
S23.144,10,20,10,10,10,9.57,10,9.79,20,5,10,10,9.77,10,0,10,9.17,10,10,10,10,9.17,20,7.03,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,59,55,112,119,25,25,138,10,10,257.47,257.47,99.03,99.03,99.03,99.03,60,60,100,100,100,100,174,174,96.67,96.67,96.67,96.67,231,231,92.4,92.4,92.4,92.4,50,50,100,100,100,100,138,138,69,69,69,69,20,20,,,,,930.47,930.47,93.05,93.05,93.05,93.05,,
S23.145,10,18,9,9.09,9,8.25,5.37,6.24,17.14,9.44,9.26,10,7.48,7.86,6.38,5.81,2.5,8.12,7.06,9.43,8.11,8.98,18,8.38,14.08,5,5,5,5,5,5,5,5,0,5,5,5,5,5,51,56,55,88,75,25,0,98,10,10,211.03,211.03,84.41,84.41,84.41,84.41,60,60,100,100,100,100,162,162,90,90,90,90,163,163,65.2,65.2,65.2,65.2,25,25,50,50,50,50,98,98,49,49,49,49,20,20,,,,,739.03,739.03,74.65,74.65,74.65,74.65,,
S23.146,10,20,8.99,10,9.6,9.56,8.92,9.37,20,9.43,10,10,8.2,7.38,7.28,10,9.17,8.76,9.41,4.86,10,9.67,15.6,3.25,17.04,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,59,53,117,73,25,25,91,10,10,241.1,241.1,92.73,92.73,92.73,92.73,60,60,100,100,100,100,172,172,95.56,95.56,95.56,95.56,190,190,76,76,76,76,50,50,100,100,100,100,91,91,45.5,45.5,45.5,45.5,20,20,,,,,824.1,824.1,82.41,82.41,82.41,82.41,,
S23.147,10,14,8.99,9.54,10,9.14,9.65,9.18,20,9.25,7.78,10,8.62,9.74,9.16,9.47,10,10,9.41,10,7.5,6.32,19.6,7.3,19.26,5,5,5,5,5,5,5,5,5,4,5,5,5,5,57,52,53,117,108,25,25,97,10,10,242.79,242.79,93.38,93.38,93.38,93.38,60,60,100,100,100,100,162,162,90,90,90,90,225,225,90,90,90,90,50,50,100,100,100,100,97,97,48.5,48.5,48.5,48.5,20,20,,,,,856.79,856.79,85.68,85.68,85.68,85.68,,
S23.148,10,16,8.67,7.72,9.3,7.85,9.64,5.8,6.6,7.93,6.67,0,0,0,0,1.32,0.83,0.94,0,4.86,1.24,0.33,2.8,0,5.92,5,5,0,5,5,0,0,0,0,0,5,0,0,0,43,25,27,50,23,0,0,57,10,10,114.42,114.42,44.01,44.01,44.01,44.01,25,25,41.67,41.67,41.67,41.67,95,95,52.78,52.78,52.78,52.78,73,73,29.2,29.2,29.2,29.2,0,0,0,0,0,0,57,57,28.5,28.5,28.5,28.5,20,20,,,,,384.42,384.42,38.44,38.44,38.44,38.44,,
S23.149,10,20,8.34,0,8.7,10,9.64,7.27,19.04,9.24,3.71,9.6,0,3.68,8.32,7.88,0,9.69,8.84,9.71,6.87,2.33,0,0.81,16.3,5,5,5,5,5,5,5,5,0,5,5,5,5,5,60,49,53,85,78,25,12.5,102,10,10,189.97,189.97,73.07,73.07,73.07,73.07,60,60,100,100,100,100,162,162,90,90,90,90,163,163,65.2,65.2,65.2,65.2,37.5,37.5,75,75,75,75,102,102,51,51,51,51,20,20,,,,,734.47,734.47,73.45,73.45,73.45,73.45,,
S23.150,10,20,9.33,10,9,9.14,10,9.8,20,10,10,10,7.75,8.95,10,8.94,0.83,10,9.41,10,8.14,10,19.6,10,20,5,5,5,5,5,4,5,0,5,5,5,0,5,5,52,50,60,112,97,25,25,87,10,10,254.17,254.17,97.76,97.76,97.76,97.76,59,59,98.33,98.33,98.33,98.33,162,162,90,90,90,90,209,209,83.6,83.6,83.6,83.6,50,50,100,100,100,100,87,87,43.5,43.5,43.5,43.5,20,20,,,,,841.17,841.17,84.12,84.12,84.12,84.12,,
S23.151,10,20,9.66,10,9.6,10,10,10,20,9.62,10,10,9.78,10,10,10,10,10,9.41,0,0,0,20,10,17.04,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,57,49,116,119,25,25,174,10,10,255.11,255.11,98.12,98.12,98.12,98.12,60,60,100,100,100,100,166,166,92.22,92.22,92.22,92.22,235,235,94,94,94,94,50,50,100,100,100,100,174,174,87,87,87,87,20,20,,,,,960.11,960.11,96.01,96.01,96.01,96.01,,
