Student,Lec 1,Lec 2,Lec 3,Lec 4,Lec 5,Lec 6,Lec 7,Lec 8,Lec 9,Lec 10,Lec 11,Lec 12,Lec 13,Lec 14,Lec 15,Lec 16,Lec 17,Lec 18,Lec 19,Lec 20,Lec 21,Lec 22,Lec 23,Lec 24,Lec 25,Lec 26,Lec 27,Lec 28,Activity 1,Activity 2,Activity 3,Activity 4,Activity 5,Activity 6,Activity 7,Activity 8,Activity 9,Activity 10,Activity 11,Activity 12,Activity 13,Activity 14,Activity 15,Activity 16
F23.56,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,,,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,,1,1,,1,1
F23.57,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0.75,1,1,1,0,1,0.666666667,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,,0,0
F23.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.60,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.666666667,0,1,1,0.5,0.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.61,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1
F23.62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.909090909,1,1,1,1,0.5,1,1,1,1,1,0,1,1,,1,0
F23.63,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.833333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0
F23.64,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3,1,,1,1
F23.65,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1
F23.66,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0
F23.67,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.8,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
F23.68,1,1,1,1,1,1,1,0,0.5,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.5,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1
