Table Names,Student,HW 1: Vocab ,HW 2: Qualitative Data ,HW 3: Quantitative Displays ,HW 6: Relative Position,HW 7R: Midterm 1 Review,HW 12: RV & Normal Dist part 1,HW 20R: Final Exam Review 1,HW 24R: Final Exam Review 2,HW 4: Quantitative Data part 1,HW 5: Quantitative Data part 2,HW 8: Scatterplots and correlation,"HW 9: Correlation, Regression",HW 10: Probability Part 1,HW 11: Probability Part 2,HW 13: Normal Distribution part 2,HW 14: Sampling Distributions of p-hat,HW 15: 1 sample CI for p (part 1),HW 16: 1 sample CI for p (part 2),HW 17: Intro to Hypothesis Testing,HW 18R: Midterm 2 Review,HW 19: 1 sample HT for p,HW 21: Sampling Distribution of x-bar,HW 22: 1 sample CI for mu,HW 23: 1 sample HT for mu
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.25,9.34,10,9.6,9.79,10,9.32,10,10,10,9.64,9.24,9.63,10,9.37,9.73,9.73,8.94,8.33,10,9.75,9.41,10,9.37,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.26,4.83,8.63,4.55,0.84,2.72,0.66,8,0,9.57,9.64,2.91,4.82,5,3.75,0.26,8.91,4.74,9.16,9.36,0.38,0,5,9.38,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.27,9.67,10,9,8.12,10,0,4.3,10,8.24,10,8.86,7.78,10,10,7.36,8.9,8.94,10,8.44,9.25,9.41,9.42,8.74,8.98
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.28,0,0,1.5,8.15,8.8,2.67,8.6,0,9.56,10,8.3,10,10,9.37,0,0,0,0,4.53,5.25,8.23,5.04,6.25,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.29,9.67,10,0,9.6,10,10,9.8,10,9.57,9.64,9.81,10,10,10,9.73,9.72,10,10,10,10,9.41,10,10,9.67
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.30,10,9.54,5,3.07,4.64,0,0,10,10,10,9.62,8.15,0,0.31,0,0,1.58,0,0,0,0,0,0,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.31,4.84,4.77,9.7,9.2,10,10,10,10,9.57,10,9.81,10,10,10,10,10,10,10,7.18,10,10,0,7.48,5
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.32,9.33,8.19,9,8.13,8.32,0,8.2,8.52,7.42,5.39,8.67,7.03,10,8.11,5.78,9.17,8.95,4.17,7.15,8.25,7.65,10,8.12,5.34
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.33,10,10,9.7,10,10,0,10,10,9.57,10,9.81,10,10,9.37,2.36,10,10,10,8.08,9.75,10,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.34,8.98,9.54,9.7,3.34,8.8,0,0,0,8.71,9.28,9.05,9.63,10,9.37,1.05,2.24,0,0,0,0,0,0,0,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.35,9.67,10,9.7,9.6,10,9.56,10,10,10,10,8.68,10,10,9.37,9.73,10,10,10,9.37,10,10,10,7.48,9.66
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.36,8.67,10,9.4,9.58,10,9.08,10,8.15,9.14,9.64,8.69,10,10,9.37,8.15,9.45,8.43,5,0,10,8.23,10,8.74,6.97
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.37,9.67,10,10,10,10,9.08,9.6,10,9.14,8.92,9.44,7.04,10,8.74,9.73,10,9.47,9.17,0,5,9.41,9.72,9.37,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.38,10,10,10,8.11,10,0,9.8,7.78,10,10,9.62,8.15,10,4.99,0,10,6.86,10,8.08,8.25,8.82,10,10,7.17
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.39,9.01,8.18,0,0,0,5.47,0,7.78,0,0.36,7.91,7.78,10,10,6.07,1.96,6.86,9.17,10,0,0,0,7.5,7.32
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.40,9.67,10,9.7,10,10,8.62,10,10,8.28,10,10,8.52,10,8.75,3.4,10,6.33,7.49,10,7.75,10,10,10,9.67
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.41,9.34,10,5,9.37,10,8.86,9.2,7.41,9.56,5,10,10,10,9.37,9.47,4.87,9.47,8.34,10,5,10,10,9.37,0.99
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.42,10,10,10,10,10,9.77,10,10,9.13,10,9.25,10,10,10,10,10,10,10,10,10,10,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.43,10,10,9.6,10,10,10,10,10,9.57,10,9.64,10,10,10,10,10,10,10,10,10,10,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.44,10,9.54,9.7,10,10,1.84,9.6,9.63,9.57,10,9.05,7.78,9.46,9.37,0.52,0,4.74,9.17,1.55,2.25,9.41,10,8.74,5.17
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.45,10,10,10,10,10,10,9.8,10,10,10,9.81,10,10,10,10,10,10,10,10,10,10,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.46,9.67,9.09,10,5,5,10,10,9.63,10,10,9.81,10,10,10,9.21,5.98,5,10,0,10,10,10,10,9.66
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.47,0,0,0,8.76,10,9.08,9.6,9.63,6.54,0,7.92,7.78,0,0,8.68,10,0,10,9.68,9.75,8.83,9.71,7.5,0
