Table Names,Student,HW 1: Vocab ,HW 2: Qualitative Data ,HW 3: Quantitative Displays ,HW 6: Relative Position,HW 7R: Midterm 1 Review,HW 12: RV & Normal Dist part 1,HW 20R: Final Exam Review 1,HW 24R: Final Exam Review 2,HW 4: Quantitative Data part 1,HW 5: Quantitative Data part 2,HW 8: Scatterplots and correlation,"HW 9: Correlation, Regression",HW 10: Probability Part 1,HW 11: Probability Part 2,HW 13: Normal Distribution part 2,HW 14: Sampling Distributions of p-hat,HW 15: 1 sample CI for p (part 1),HW 16: 1 sample CI for p (part 2),HW 17: Intro to Hypothesis Testing,HW 18R: Midterm 2 Review,HW 19: 1 sample HT for p,HW 21: Sampling Distribution of x-bar,HW 22: 1 sample CI for mu,HW 23: 1 sample HT for mu
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.103,10,4.77,5.1,8.01,10,6.57,2.8,5.56,9.14,5.36,5,0.56,5,8.74,3.92,5.85,8.94,10,0,7.75,0,4.71,3.75,7.99
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.104,10,9.54,9.3,9.16,5.33,0,10,10,10,10,9.62,8.15,10,9.37,3.92,9.72,9.47,10,9.38,9.75,8.24,10,10,8.31
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.105,9.66,9.08,9.6,10,10,10,10,10,9.57,10,9.82,10,10,10,10,10,9.47,10,10,10,9.41,10,10,9.67
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.106,9.34,10,10,0,10,9.77,10,9.63,9.57,10,9.81,0,10,10,6.85,9.72,9.47,8.34,8.08,3.5,9.41,10,10,9.33
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.107,10,10,9.7,9.58,10,8.39,9.8,10,9.14,10,9.81,10,10,9.37,10,10,10,10,10,10,9.41,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.108,9.66,9.54,10,10,9.76,0,10,10,9.57,8.22,8.67,8.52,10,8.74,3.41,8.91,9.47,5.83,2.5,8.5,9.41,0,9.37,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.109,0,0,0,0,0,0,0,0,3.94,10,8.86,8.52,0,0,0,0,0,2.5,0,0,0,0,0,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.110,9.67,9.54,9.3,10,10,9.77,10,10,10,10,9.24,10,10,10,9.47,10,8.95,10,9.07,10,10,9.71,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.111,9.67,10,9.7,9.6,10,10,0,10,9.57,10,8.88,10,10,8.11,8.95,9.72,9.47,8.34,8.4,9.75,9.41,9.71,10,8.99
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.112,9.66,9.08,4.85,10,10,2.87,9.8,9.63,9.13,10,7.73,9.63,10,8.74,8.29,10,9.47,9.16,7.77,2.75,10,10,9.37,8.33
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.113,0,10,10,7.48,10,0,0,10,6.99,5,8.67,0,0,9.37,9.73,0,10,8.34,8.74,0,0,0,0,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.114,8.65,9.54,9,8.97,9.28,0,0,6.67,3.48,9.65,5.51,9.63,8.92,0,0.78,9.45,0.53,4.15,9.68,0.75,0,0,5,3.66
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.115,10,9.54,9.6,9.8,9.76,10,10,10,9.14,10,9.81,10,10,10,9.73,10,10,10,3.74,10,10,9.71,9.37,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,1,9.34,10,10,9.79,10,9.08,9.6,10,9.57,10,9.62,8.15,10,10,4.74,10,10,10,9.36,9.34,10,9.71,10,9.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,2,9.66,10,10,9.58,9.76,9.31,10,7.04,10,10,8.29,7.04,10,9.37,9.73,9.44,9.47,7.51,0,10,10,9.71,7.48,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,3,9.66,9.54,9.6,8.53,10,7.27,7.8,0,8.7,8.93,8.1,7.41,10,3.75,3.43,9.44,3.17,5,8.43,8.26,7.65,9.43,9.37,7.98
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,4,10,9.54,10,10,10,10,10,10,10,10,9.62,10,10,10,10,10,10,10,9.38,10,10,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,5,9.66,10,9.6,9.79,0,2.88,0,4.45,9.57,9.28,0,0,0,0,7.91,0,1.58,4.99,0,0,0,10,10,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,6,8.67,10,9.6,9.58,10,9.78,10,9.63,8.7,9.28,9.06,9.63,10,10,10,10,9.47,9.17,10,10,9.41,9.72,10,9.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,7,9.67,10,10,9.2,10,9.56,10,10,9.57,10,9.81,10,10,10,9.73,10,8.41,4.17,9.07,10,9.41,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,8,10,10,9.7,10,0,10,10,0,10,10,10,10,10,10,9.46,10,10,10,10,10,10,0,8.11,9.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,9,10,10,10,10,10,10,10,10,10,10,9.81,10,10,10,10,9.72,10,10,10,10,8.82,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,10,10,10,10,10,10,10,10,8.34,10,10,9.81,10,10,9.37,9.73,9.72,10,10,9.69,10,10,9.72,4.69,9.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,11,10,9.54,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,12,10,10,10,10,10,10,10,5,9.57,10,10,10,10,10,10,10,10,10,8.72,10,10,10,8.74,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,13,9.34,9.54,9.3,10,9.77,9.31,9.8,10,10,10,9.82,8.52,10,10,10,10,10,10,9.69,9.12,10,10,10,9.33
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,14,10,10,10,8.99,10,8.16,10,10,10,10,9.25,10,10,10,9.46,9.72,9.47,8.34,10,10,10,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,15,9.32,10,10,0,9.04,0,0,0,9.13,0,0,8.52,10,0,9.73,7.23,10,0,0,0,0,0,0,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,17,9.33,9.54,9.7,8.14,8.8,4.75,9.6,2.97,7.41,6.8,8.3,7.78,9.73,9.37,4.7,8.08,5.8,5.81,7.15,8.48,7.65,8.84,6.88,5.99
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,18,9.67,9.54,9,9.79,0,7.02,9.4,10,10,10,9.44,10,10,9.37,10,8.88,9.47,8.33,10,0,9.41,9.71,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,19,10,9.54,9.3,10,10,9.56,10,10,10,9.64,9.44,10,10,9.37,10,10,10,10,9.68,10,10,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,20,10,9.54,10,9.8,10,9.32,9.8,10,10,9.65,8.11,8.52,10,10,10,10,9.47,8.34,9.68,9.78,10,10,10,8.98
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,21,10,8.62,9.6,10,10,9.78,10,8.89,9.56,10,9.81,10,10,9.37,10,9.72,9.47,9.16,10,10,9.41,10,7.48,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,22,10,9.54,9.7,8.78,10,8.19,6.4,3.71,8.71,10,8.86,8.15,10,3.13,10,10,10,10,1.88,6.08,7.05,10,10,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,23,10,9.54,10,10,10,9.78,10,10,10,10,9.81,9.63,10,10,10,10,10,10,10,10,10,10,8.74,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,24,8.67,0,4.65,3.64,4.06,0,0,0,9.57,4.66,3.5,3.71,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,25,8.99,10,9.7,8.99,10,9.77,10,10,9.57,9.64,9.63,10,10,10,10,10,10,9.16,10,10,10,10,10,9.32
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,26,10,8.63,9.7,9.79,10,0,9.6,10,9.57,8.57,8.3,9.63,10,9.37,4.97,10,4.47,8.76,9.69,0,8.82,9.43,8.11,3.98
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,27,9.67,9.54,0,7.27,0.92,0.23,1.2,0,10,10,10,8.89,10,6.26,0,0.84,0,0,0,0,0,0,0,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,28,8.67,10,10,10,5,7.53,9.6,10,8.26,9.64,9.44,10,10,9.37,10,9.73,10,9.17,9.38,10,9.41,10,10,9.32
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,29,10,10,10,9.58,10,9.54,0,0,9.57,10,4.49,0,0.27,10,10,0,9.47,0,0,0,0,0,0,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,30,9.67,10,10,10,10,10,10,10,10,10,9.43,10,10,10,10,10,10,10,10,10,10,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,31,9.33,9.54,9.7,9.37,10,8.43,10,10,10,9.65,9.62,9.63,10,9.37,10,10,10,9.16,9.07,8.68,10,10,10,9.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,32,10,10,10,10,10,9.78,10,10,10,10,9.62,10,10,10,10,10,10,10,10,10,9.42,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,33,10,10,5,10,5.34,10,8.8,10,9.57,10,9.81,10,10,9.37,3.53,9.44,8.94,10,10,10,9.41,10,9.38,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,34,10,9.54,9.6,10,10,9.77,10,10,10,10,9.44,9.63,10,10,9.47,10,10,10,10,10,8.83,9.71,10,8.98
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,35,10,10,10,9.58,10,10,10,9.63,10,10,10,10,10,10,10,9.72,10,10,10,10,10,10,9.37,9.33
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,36,10,10,9.7,9.59,10,10,9.8,10,9.57,9.28,9.08,10,10,10,10,10,9.47,9.16,9.38,10,10,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,37,9.66,8.16,10,0,10,10,10,10,10,10,10,8.52,10,9.37,10,8.32,10,10,5,10,8.82,5,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,38,9.34,10,9.7,9.58,5,8.51,10,8.52,9.57,9.64,9.24,10,10,10,9.73,10,9.47,8.33,10,9.79,8.82,10,10,9.66
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,39,9.67,10,10,5,10,10,10,10,10,9.64,9.06,10,10,10,10,10,10,10,4.69,10,10,10,10,5.83
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,40,9.33,10,10,9.79,10,10,10,10,10,10,9.43,9.63,10,10,10,10,10,8.34,9.69,10,10,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,41,9,10,9.6,10,10,9.78,10,10,10,10,8.87,10,10,10,10,10,10,9.17,9.69,10,10,10,8.11,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,42,9.66,10,10,10,10,8.85,10,10,10,10,9.63,10,10,10,10,8.63,8.94,10,9.05,9.56,0,9.71,8.74,5
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,43,9.67,2.3,0,4.69,10,9.09,9.8,10,9.14,9.29,8.86,8.15,10,9.37,8.16,9.72,10,8.33,10,9.78,7.66,10,10,8.65
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,44,10,9.54,10,8.95,9.76,8.63,9,8.89,9.57,9.29,9.05,9.26,10,7.49,9.48,9.72,8.95,7.5,7.77,1.97,9.41,10,9.37,8.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,45,10,10,10,9.79,10,10,10,5,10,10,9.81,10,10,10,10,10,9.47,10,5,10,10,10,10,9.32
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,46,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,47,9.67,9.54,9.7,3.55,10,0,7,4.45,9.14,4.12,8.29,7.41,5,6.87,0.78,5.04,4.47,2.08,4.05,2.71,8.24,10,8.74,2.33
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,48,9.34,9.54,9.7,0,10,9.54,10,10,10,0,7.54,0,10,9.37,9.2,9.72,9.47,9.17,9.07,9.78,9.41,10,9.37,8.33
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,49,10,10,10,9.39,10,10,10,10,10,10,9.81,10,10,9.37,10,9.72,10,10,10,10,9.41,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,50,9.67,9.54,10,4.59,10,9.31,10,10,9.57,10,9.62,8.52,5,10,8.94,10,10,9.17,10,0,10,9.71,10,8.65
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,51,9.66,10,9.6,10,9.76,8.62,10,10,9.14,10,9.81,9.63,10,8.74,10,9.72,9.47,10,9.36,9.78,9.41,9.72,8.74,8.65
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,52,9.67,9.54,9.6,8.57,5,8.2,9.8,9.63,8.7,9.64,9.43,8.15,10,9.37,9.47,9.18,9.47,6.67,8.74,9.78,8.24,9.71,9.37,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,53,9.34,9.54,9.4,4.49,10,7.02,7.3,8.52,8.7,10,8.68,0,10,8.74,3.29,0.98,6.86,6.66,1.1,8.92,0,9.72,9.37,7.48
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,54,10,10,10,10,10,10,9.8,10,10,10,9.81,10,10,10,10,10,10,10,10,10,10,10,10,9.66
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,55,10,10,9.3,8.64,0.46,10,9.4,10,9.57,9.29,9.05,10,10,10,10,9.72,9.47,10,10,10,9.41,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,56,10,9.08,9.7,6.68,8.56,5.2,9.6,10,9.57,9.28,7.36,7.78,10,8.11,2.91,9.45,5.29,8.33,8.42,8.48,0,9.71,10,9.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,57,10,10,10,10,10,10,10,10,10,10,9.81,9.63,10,10,10,10,10,10,9.68,9.78,10,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,58,9.34,9.54,9.4,6.66,2.1,8.19,9,10,9.13,9.65,5,0,9.46,8.11,7.9,9.19,10,8.34,9.36,4.14,9.41,10,10,5
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,59,9.34,9.54,9.7,9.2,9.77,8.86,8,10,9.14,7.51,3.77,7.78,10,8.74,8.41,9.72,9.47,8.32,0,9.34,9.41,9.72,8.76,8.65
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,60,9.66,10,9.7,9.79,10,9.77,10,10,8.25,2.88,9.62,8.52,10,8.11,9.47,10,9.47,10,8.1,8.48,8.82,0,10,9.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,61,10,10,9.7,5,9.76,9.77,9.8,10,9.56,10,9.25,10,10,9.37,10,9.72,10,10,8.73,7.83,8.82,9.71,10,9.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,62,10,9.08,9.7,10,10,9.55,9.8,10,10,9.64,9.81,10,10,9.37,10,10,9.47,9.17,10,10,10,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,63,9.66,10,9.6,0,10,9.55,0,10,10,10,9.82,10,5,10,10,10,5,9.17,5,9.56,10,9.71,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,64,10,10,9.4,9.37,10,3.62,0,10,9.57,9.28,9.24,10,10,9.37,4.74,5.84,10,9.17,4.37,6.4,9.41,10,4.68,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,65,9.66,10,10,10,10,10,10,10,10,10,9.62,10,10,10,10,10,10,9.17,9.38,10,9.41,9.71,10,8.65
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,66,10,10,9.7,10,10,10,10,10,10,10,9.81,10,10,10,10,9.72,10,9.16,10,10,10,10,9.37,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,67,10,9.54,10,9.6,5,9.11,9.8,10,10,9.64,8.89,9.26,10,10,9.73,10,9.47,10,10,8.7,9.41,10,9.38,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,68,10,10,10,5,5,4.89,10,10,9.13,10,9.43,10,10,10,10,5,10,10,9.68,5,5,10,5,4.49
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,69,10,10,10,10,10,9.77,10,10,9.57,9.64,9.81,10,10,10,10,10,10,10,0,10,10,10,10,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,70,10,9.54,9.3,10,10,10,10,10,9.57,10,9.24,10,10,10,10,9.72,9.47,10,10,10,10,10,9.37,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,72,9.34,0,4.85,4.89,5,0,10,0,9.56,9.64,4.53,1.86,5,9.37,5,9.72,4.74,5.83,5,5,0,9.42,10,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,73,10,9.54,10,9.2,10,9.77,10,10,10,9.64,10,9.63,10,10,10,9.72,9.47,10,8.1,10,9.42,10,10,8.98
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,74,10,10,10,0,8.56,3.67,8.6,7.78,6.11,5.37,6.24,0,8.65,7.49,0,8.62,0,0,0,8.48,8.24,8.55,10,9.33
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,75,9.66,3.18,10,0,7.38,0,0,0,9.56,5.54,10,0,8.91,0,1.04,0,7.37,4.15,0,0,0,0,0,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,76,10,10,10,5,10,10,10,10,9.57,10,9.81,10,10,10,10,9.72,9.47,9.17,10,10,10,10,10,4.84
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,77,4.66,6.81,9.7,0,10,3.6,10,10,10,9.29,10,10,10,8.75,8.94,8.89,6.34,4.17,7.81,4.18,8.82,9.71,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,78,9,4.57,4.3,5.38,4.28,3.07,4.3,0,9.56,2.88,9.81,0,4.32,10,1.98,0.84,8.42,5.85,9.38,0,3.54,4.57,3.12,0.83
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,79,10,10,10,0,5,10,10,10,10,10,9.24,10,10,10,10,9.72,10,10,4.54,10,9.42,9.71,8.74,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,80,7.32,9.08,9.4,9.16,10,9.54,10,10,9.57,9.64,9.44,9.63,10,9.37,9.73,10,10,9.16,9.38,10,9.41,9.71,10,9.34
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,81,9.34,9.54,5.5,8.74,10,9.55,9.8,10,9.14,10,9.43,9.63,10,9.37,9.47,9.72,10,10,8.43,0,9.41,10,8.74,9.66
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,82,10,10,10,10,10,9.78,10,10,9.13,10,9.81,10,10,9.37,9.74,10,10,10,10,10,8.82,10,10,9.66
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,83,10,10,9.7,9.2,10,9.54,9,9.26,10,10,5.01,10,10,10,9.74,10,0,10,9.68,8.92,10,4.71,8.11,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,84,10,10,10,10,10,9.77,9.8,10,9.57,9.28,9.63,10,10,9.37,9.73,10,9.47,10,9.68,9.78,10,10,9.37,9.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,85,9.66,8.18,5.5,7.27,0,4.79,9.8,7.41,10,8.93,10,0,9.72,8.12,7.65,9.16,3.17,9.16,4.84,7.58,10,8.55,10,5.66
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,86,10,10,9.3,10,10,9.54,10,10,10,10,9.62,10,10,10,9.74,3.08,9.48,10,8.08,9.56,10,9.42,0,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,87,9.66,10,9.6,10,10,7.7,3,10,4.37,10,9.06,10,10,10,8.69,2.8,10,10,10,9.56,10,0,10,5
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,88,10,10,10,9.18,10,9.56,10,10,9.57,10,9.05,10,10,10,10,9.44,9.47,9.17,10,10,7.65,10,10,10
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,89,10,8.17,10,9.18,10,0,8.8,8.52,10,9.3,8.88,8.52,10,9.37,8.17,10,9.48,6.68,10,9.78,9.41,9.71,10,7.66
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,90,9.66,10,10,9.2,10,10,9.6,10,10,10,9.63,10,10,10,10,10,9.48,10,10,10,10,9.71,10,9.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,91,9.67,10,0,0,10,10,10,10,8.7,10,9.62,10,10,9.37,10,9.44,10,10,5,10,9.42,10,10,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,92,9,10,9.7,4.49,9.76,9.56,10,9.26,10,7.5,9.45,4.45,9.72,10,9.47,9.72,10,6.68,4.84,9.34,5.87,10,8.11,2.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,93,9,10,10,9.79,10,9.08,9.6,7.78,9.57,10,9.24,10,10,10,5.24,9.72,8.43,6.67,4.07,8.92,2.35,4,4.37,7.33
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,94,10,10,10,10,10,10,9.2,9.63,9.14,10,8.67,10,10,10,10,10,10,10,10,10,10,10,10,9.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,95,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,96,9,9.54,10,9.79,0,9.77,9.8,7.78,9.14,10,8.68,10,10,10,4.97,10,9.47,9.17,8.76,9.78,10,9.71,10,8
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,97,8.66,5.44,9.1,7.94,9.04,9.78,10,9.63,9.14,9.65,7.54,9.26,9.73,10,9.46,9.44,9.47,9.17,9.69,10,8.82,10,10,9.67
2024-04-15T1453_Grades-STAT_108_Sec31F.xlsx/2024-04-15T1453_Grades-STAT_108,98,9.67,10,10,10,10,10,10,10,10,10,10,10,10,10,9.73,10,10,10,10,10,10,10,10,10
