Student,Midterm 1 (percent),Midterm 2 (percent),Final Exam (percent),Midterm 1 - extra 2 points (Fall 24),Midterm 2 - extra 5 points (Fall 24),Maintenance Midterm 1 (percent),Maintenance Midterm 2 (percent)
3,0.66,0.61,0.685,2,5,1,1
4,0.92,0.96,0.9,2,5,1,1
5,0.8,0,0,2,0,1,0
6,0.83,0.83,0.7625,2,5,1,1
7,0.895,0.94,0.795,2,5,1,1
8,0.78,0.92,0.805,2,0,1,1
9,0.97,0.94,0.855,2,5,1,1
10,0.91,0.99,0.855,2,5,1,1
11,0.92,0.95,0.87,2,0,1,1
12,0.875,0.99,0.895,2,5,1,1
13,0.86,0.75,0.8575,2,5,1,1
14,0.9175,0.86,0.825,2,5,1,1
15,0.585,0.37,0,2,0,0,0
16,0,0,0,2,0,0,0
17,0.5925,0.22,0.3475,2,0,1,1
18,0.905,0.81,0.67,2,0,1,1
19,0.795,0.85,0.8375,2,5,1,1
20,0.58,0.56,0.6175,2,5,1,1
21,0.97,0.94,0.8725,2,0,1,1
22,0.795,0.85,0.605,2,0,1,1
23,0.87,0.94,0.89,2,0,1,1
24,0.6,0,0,2,0,0,0
25,0.98,0.87,0.9,2,5,1,1
26,0.97,0.92,0.76,2,5,1,1
27,0.595,0,0,2,0,0,0
28,0.79,0.61,0.595,2,5,1,1
29,0.805,0,0,2,0,1,0
30,0.89,0.91,0.7975,2,5,1,1
31,0.83,0.72,0.705,2,0,1,1
32,0.84,0.95,0.855,2,5,1,1
33,0.91,0.86,0.6325,2,0,1,1
34,0.99,0.92,0.82,2,5,1,1
35,0.71,0.96,0.775,2,0,1,1
36,0.81,0.92,0.7575,2,5,1,1
37,0.68,0.63,0.395,2,5,1,1
38,0.81,0.5,0.53,2,5,1,1
39,0.81,0.87,0.8025,2,5,1,1
40,0.6,0.87,0.825,2,5,1,1
41,0.81,0.85,0.825,2,5,1,1
42,0.81,0.95,0.7825,2,5,1,1
43,0.83,0.81,0.7675,2,5,1,1
44,0.91,0.78,0.76,2,0,1,1
45,0.91,0.88,0.855,2,0,1,1
46,0.435,0,0,2,0,0,0
47,0.84,0.61,0.7125,2,5,1,1
48,0.82,0.88,0.845,2,5,1,1
49,0.84,0.77,0.775,2,5,1,1
50,0.82,0.8,0.725,2,0,1,1
51,0.93,0.93,0.8875,2,5,1,1
52,0.9,0.9,0.735,2,0,1,1
53,0.76,0.48,0.5775,2,5,1,1
54,0.95,1,0.845,2,5,1,1
55,0.87,0.85,0.87,2,5,1,1
56,0.78,0.66,0.815,2,5,1,1
57,0.87,0.99,0.885,2,0,1,1
58,0.57,0.44,0.6525,2,5,1,1
59,0.8375,0.82,0.7675,2,5,1,1
60,0.6925,0.69,0.565,2,0,0,0
61,0.93,0.94,0.88,2,0,1,1
62,0.8475,0.91,0.7775,2,5,1,1
63,0.83,0.97,0.795,2,5,1,1
64,0.81,0.97,0.865,2,0,1,1
65,0.92,0.97,0.88,2,5,1,1
66,0.95,0.95,0.9,2,5,1,1
67,0.84,0.4,0.78,2,5,1,1
68,0.85,0.91,0.87,2,5,1,1
69,0.89,0.96,0.9,2,0,1,1
70,1,0.95,0.89,2,0,1,1
71,0,0,0,2,0,0,0
72,0.47,0.29,0,2,0,1,1
73,0.7125,0.81,0.825,2,5,1,1
74,0.51,0.57,0.59,2,5,1,1
75,0.49,0,0,2,0,0,0
76,0.99,0.93,0.895,2,5,1,1
77,0.73,0.69,0.6,2,5,1,1
78,0.36,0.26,0.305,2,5,1,1
79,0.785,0.87,0.8375,2,0,1,1
80,0.835,0.72,0.7025,2,5,1,1
81,0.72,0.93,0.78,2,5,1,1
82,0.94,0.64,0.6475,2,5,1,1
83,0.93,0.87,0.8475,2,5,1,1
84,1,0.98,0.8975,2,0,1,1
85,0.6525,0.57,0.6325,2,5,1,1
86,0.97,0.82,0.835,2,5,1,1
87,0.86,0.98,0.8125,2,5,1,1
88,0.89,0.91,0.845,2,0,1,1
89,0.59,0.37,0.435,2,0,0,1
90,0.91,0.96,0.8075,2,5,1,1
91,0.87,0.92,0.795,2,5,1,1
92,0.89,0.75,0.565,2,0,1,1
93,0.76,0.71,0.675,2,5,1,1
94,0.9,0.93,0.83,2,0,1,1
95,0,0,0,2,0,0,0
96,0.665,0.9,0.62,2,5,0,1
97,0.305,0.52,0.4175,2,5,1,1
98,0.86,0.9,0.78,2,0,1,1
F23.01,0.83,0.89,0.76,,,1,1
F23.02,0.82,0.89,0.915,,,1,1
F23.03,0.915,0.81,0.91,,,1,1
F23.04,0.75,0.22,0.375,,,1,1
F23.05,0.75,0.7,0.5895,,,1,1
F23.06,0.52,0.63,0.65,,,1,1
F23.07,0.955,0.83,0.92,,,1,1
F23.08,0.93,0.91,0.905,,,1,1
F23.09,0.66,0.75,0.71,,,1,1
F23.10,0.64,0.64,0.575,,,1,1
F23.11,0.88,0.78,0.775,,,1,1
F23.12,0.98,0.97,0.935,,,1,1
F23.13,0.49,0.1,0,,,1,0
F23.14,0.8,0.92,0.815,,,1,1
F23.15,0.97,0.9,0.865,,,1,1
F23.16,0.395,0.54,0.515,,,1,1
F23.17,0.94,0.75,0.62,,,1,1
F23.18,0.945,0.91,0.79,,,1,1
F23.19,0.9,0.73,0.455,,,1,1
F23.20,0.97,0.92,0.83,,,1,1
F23.21,0.405,0.12,0,,,0,0
F23.22,0.49,0,0,,,0,0
F23.23,0.85,0.68,0.61,,,1,1
F23.24,0.76,0.76,0.635,,,1,1
F23.25,0.93,0.95,0.795,,,1,1
F23.26,0.565,0.81,0.505,,,0,1
F23.27,0.67,0.32,0.3285,,,1,1
F23.28,0.58,0,0,,,0,0
F23.29,0.98,0.93,0.875,,,1,1
F23.30,0.82,0.55,0.38,,,1,0
F23.31,0.89,0.94,0.93,,,1,1
F23.32,0.61,0.57,0.47,,,1,1
F23.33,0.99,0.95,0.97,,,1,1
F23.34,0.56,0,0,,,0.5,0
F23.35,1,0.98,0.95,,,1,1
F23.36,0.74,0.59,0.64,,,1,1
F23.37,0.86,0.72,0.77,,,1,1
F23.38,0.92,0.69,0.59,,,1,0
F23.39,0.675,0.42,0.375,,,1,1
F23.40,0.815,0.75,0.52,,,1,1
F23.41,0.59,0.53,0.625,,,1,1
F23.42,0.77,0.9,0.9,,,1,1
